,id,user,text,date,match,bueno,malo,neutral
86,519,ingrodolfohdez,"El Pdte. Duque está haciendo participación indebida en política. Levanta la ley de garantías y adjudicó contratos, a través de convenios, por 53 billones💰para entregarles a los parlamentarios para que hicieran la campaña al senado y cámara a favor de la rosca que tienen montada.",Thu May 12 18:24:58 +0000 2022,['campaña'],0.19379639625549316,0.49038225412368774,0.3158213794231415
87,533,ingrodolfohdez,"En mi gobierno,a través de un decreto, controlaremos las chequeras para que no despilfarren los recursos públicos en los lujos de los politiqueros y no se sigan robando la plata de todos los colombianos. Mi única alianza es con 🇨🇴. 
https://t.co/lHQD1v1UFq

#RodolfoPresidente",Thu May 12 16:05:43 +0000 2022,['plata'],0.35859066247940063,0.1897878348827362,0.45162153244018555
88,534,ingrodolfohdez,"Lo que los concejales politiqueros ladrones no me dejaron hacer en Bucaramanga por 0 pesos, a Bogotá le va a costar 1 billón de pesos. 😠

Basuras en Bogotá: la ciudad debe empezar a generar energía en 2023 - Bogotá - https://t.co/dD8R7kPebT https://t.co/0hrmLRwR6Y",Thu May 12 14:19:50 +0000 2022,['ladron'],0.25467750430107117,0.37566885352134705,0.3696536719799042
89,536,ingrodolfohdez,"#UnGranError es pensar que la solución es Petro, cuando la derecha nunca lo dejaría gobernar.

#RodolfoPresidente",Thu May 12 12:56:14 +0000 2022,['Petro'],0.19206134974956512,0.17175745964050293,0.6361812353134155
90,544,ingrodolfohdez,"#ElCambioEnPrimera es votar para sacar del gobierno a la mafia politiquera y corrupta, y esto solo es posible con un gobernante que una al pueblo, no uno que lo divida como Petro o Fico. 

#RodolfoPresidente",Wed May 11 14:49:03 +0000 2022,['Petro'],0.19249308109283447,0.22987256944179535,0.5776343941688538
91,552,ingrodolfohdez,"Lo más solapado que hay son gobernadores, alcaldes haciéndole campaña a unos candidatos y solamente tienen un sesgo para generar resoluciones disciplinarias contra unos otros.🤔 #EnVivo en el #DebateEconómico @CaracolRadio  @WRadioColombia @Canal1Colombia",Wed May 11 02:15:55 +0000 2022,['campaña'],0.1753428727388382,0.21854490041732788,0.6061121821403503
92,553,ingrodolfohdez,"Los politiqueros ladrones se roban 100 millones de pesos por minuto, eso da un billón semanal. Son 55 billones al año. Total de que el tema no es meter más impuestos. 💰📈 #EnVivo en el #DebateEconómico @WRadioColombia @CaracolRadio @Canal1Colombia",Wed May 11 02:12:47 +0000 2022,['ladron'],0.2391252964735031,0.38773730397224426,0.37313738465309143
93,555,ingrodolfohdez,"Entonces nos cogen a todos los colombianos que trabajamos, 25 millones de idiotas útiles a llevarle plata 💰 a políticos para que sigan la sigan gastando. #EnVivo en el #DebateEconómico @CaracolRadio  @WRadioColombia",Wed May 11 01:44:05 +0000 2022,['plata'],0.0788285955786705,0.569290280342102,0.3518811762332916
94,560,ingrodolfohdez,"En Colombia nos olvidamos de que ganar no importa, si no se puede gobernar. Ni Petro, ni Fico van a poder gobernar dividiendo al país. Mi propósito es unir y jamás dividir.

Pd: Apunte bien con su voto, que en segunda le gano a Petro. #EnSegundaGanaRodolfo",Tue May 10 16:53:37 +0000 2022,"['Petro', 'Petro']",0.5515384674072266,0.09310178458690643,0.3553597331047058
95,564,ingrodolfohdez,"#NoComprendo como pretenden gobernar Fico o Petro, con medio país en contra cada uno. Este país necesita un presidente que lo una, no que lo divida.",Tue May 10 13:00:36 +0000 2022,['Petro'],0.18010853230953217,0.2517912983894348,0.5681002140045166
96,570,ingrodolfohdez,"La única manera que existe para bajar los intereses es con competencia. La plata no la botan los árboles. Cuando hay masas de capital restringido en el mercado, la tasa de interés sube 📈 que es lo que está pasando. @TelepacificoTV",Tue May 10 02:57:26 +0000 2022,['plata'],0.3673252761363983,0.2686500549316406,0.36402469873428345
97,581,ingrodolfohdez,La deuda externa es que nosotros gastamos más plata 💵 de la que somos capaces de gastar fiscalmente la sumatoria de todos los colombianos. La deuda externa en Colombia con 175 mil millones de dólares que genera 275 mil millones diarios de interés.,Tue May 10 01:52:55 +0000 2022,['plata'],0.21028044819831848,0.5144539475440979,0.2752656638622284
98,588,ingrodolfohdez,#CampañaSuciaEs comprar votos con la misma plata que le han robado a los colombianos.,Mon May 09 15:29:30 +0000 2022,['plata'],0.2798197567462921,0.281678706407547,0.4385015070438385
99,590,ingrodolfohdez,"Mi campaña la pago yo, de mi propio bolsillo💰😊.

#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #elecciones2022 https://t.co/8jkx7NeU46",Mon May 09 14:27:38 +0000 2022,['campaña'],0.3053273558616638,0.35722607374191284,0.3374466001987457
100,593,ingrodolfohdez,"Buenos días. Para que no olviden: en segunda vuelta yo le gano a petro.

#EnSegundaGanaRodolfo",Mon May 09 10:38:44 +0000 2022,['petro'],0.40064334869384766,0.14138294756412506,0.4579736888408661
101,596,ingrodolfohdez,"No hacer contrataciones con encorbatados que no van, sino el día que les van a pagar el acta, les pagan una miserableza y se traen el resto de la plata para Bogotá #EnVivo 🔴 en el #DebateAmbiental 🌱 @noticiascaracol #RodolfoPresidente",Mon May 09 02:04:01 +0000 2022,['plata'],0.08508457988500595,0.6169049739837646,0.2980104088783264
102,600,ingrodolfohdez,"Aquí nos han metido cuentos de cobrar más por todo porque van a ejecutar una obra  y resulta que la obra no la ejecutan, la plata la comprometen, se la roban, la malgastan, malos diseños y no terminan en nada #EnVivo 🔴 en el #DebateAmbiental 🌱 @noticiascaracol",Mon May 09 01:41:47 +0000 2022,['plata'],0.09876324981451035,0.6019410490989685,0.29929572343826294
103,602,ingrodolfohdez,"Tenemos todo para tener un país bello. Todos los colombianos viviendo bien, decorosamente, pero tenemos unos administradores ladrones que solamente se preocupan por sus bolsillos. #EnVivo 🔴 en el #DebateAmbiental 🌱 @noticiascaracol #RodolfoPresidente",Mon May 09 01:31:10 +0000 2022,['ladron'],0.5101786255836487,0.18879923224449158,0.30102217197418213
104,605,ingrodolfohdez,"Las voces más lúcidas se siguen sumando en respaldo a mi campaña, con la convicción de que soy la mejor decisión para el futuro de Colombia.

https://t.co/jq2i3nXKgq",Sun May 08 18:50:54 +0000 2022,['campaña'],0.3911532461643219,0.25190746784210205,0.35693931579589844
105,623,ingrodolfohdez,"#UnaVerdadUrgente es que Fico y Petro solo van a polarizar al país. Colombia necesita un presidente que la una, no que la divida. #RodolfoHernandez",Thu May 05 14:39:23 +0000 2022,['Petro'],0.1847018003463745,0.2386307418346405,0.5766674876213074
106,652,ingrodolfohdez,La mejor reforma tributaria es sacar a los ladrones del gobierno☝️. #EnVivo en “Desafíos para el país” en @EAFIT #EafitAlAgora #DebatesEE #HistoriasQueHacenPaís,Tue May 03 16:30:36 +0000 2022,['ladron'],0.4659661054611206,0.34043246507644653,0.19360141456127167
107,653,ingrodolfohdez,Hay que inyectarle plata al campo y darles a los campesinos herramientas para que sus productos puedan competir con los que se importan. #EnVivo en “Desafíos para el país” en @EAFIT #EafitAlAgora #DebatesEE #HistoriasQueHacenPaís,Tue May 03 16:07:27 +0000 2022,['plata'],0.3952769339084625,0.25834718346595764,0.3463759124279022
108,656,ingrodolfohdez,"Para poder ejecutar los programas que eliminen las brechas de desigualdad hay que entregarle la chequera a gente que sepa administrar y sacar a los que nos robaron los 70 mil millones, que pudo haber sido más de 1 billón. #EnVivo en “Desafíos para el país” en @EAFIT #EafitAlAgora",Tue May 03 15:40:15 +0000 2022,['robar'],0.23236232995986938,0.3060813248157501,0.4615563154220581
109,657,ingrodolfohdez,Voy a representarlos y vamos a hacer lo que nadie se ha atrevido a hacer y es sacar a toda la ladronera del gobierno. #EnVivo en “Desafíos para el país” en @EAFIT #EafitAlAgora #DebatesEE #HistoriasQueHacenPaís,Tue May 03 15:29:56 +0000 2022,['ladron'],0.33709970116615295,0.22850747406482697,0.4343928396701813
110,661,ingrodolfohdez,"La vida es lo primero. Amenazar de muerte a un candidato, es amenazar de muerte a la democracia. Mi solidaridad total con @petrogustavo .",Tue May 03 00:34:01 +0000 2022,['petro'],0.1489509493112564,0.6948610544204712,0.1561879962682724
