,id,user,text,date,descortes,cortes,neutral
45,54,petrogustavo,"Asi quedaron las habitaciones de las personas que atienden los servicios de las casas. Tienen las mismas colchas y sabanas de la habitación de mi hija.

¿Sabian que revisados minuciosamente compra por compra, ningún articulo comprado presentó sobrecostos? https://t.co/PgUQ0YqPqG",2022-10-04 13:21:15+00:00,0.25691449642181396,0.29634329676628113,0.4467422366142273
46,55,petrogustavo,"Sabían que de las 35 habitaciones que hacen parta de la casa de huespedes de Cartagena, de Hatogrande, de la casa de la vicepresidencia y de la Casa de Nariño, Francia solo icupa una habitacion y yo ocupo dos?

Miren como recibimos las cortinas en Casa de Nariño https://t.co/IorEi29ETh",2022-10-04 13:14:01+00:00,0.3350293040275574,0.3284022808074951,0.3365684449672699
47,56,petrogustavo,"¿Sabían que compra de colchas  cobijas y sábanas tenía como uno de sus propósitos que las personas del servicio tuvieran las mismas comodidades que los huéspedes en el Palacio de Nariño?

Lo que encontramos fue discriminación absoluta frente a su comida y sus habitaciones https://t.co/odYP0iOwvI",2022-10-04 13:03:05+00:00,0.7480745315551758,0.08435634523630142,0.16756916046142578
48,57,petrogustavo,"Un análisis de la fracasada guerra contra las drogas en la que metió Nixon a todas las américas.

https://t.co/WY4kb7C2db",2022-10-04 12:08:31+00:00,0.34786099195480347,0.41488611698150635,0.237252876162529
49,58,petrogustavo,Mi regalo a Blinken. https://t.co/BTRjuI3pF9,2022-10-04 11:58:07+00:00,0.15084296464920044,0.3986414968967438,0.4505155384540558
50,59,petrogustavo,"Le deseo una pronta recuperación al senador @RoyBarreras, un abrazo de solidaridad y mucha fortaleza para él y su familia en este difícil momento.",2022-10-04 02:42:15+00:00,0.27425694465637207,0.29092857241630554,0.434814453125
51,60,petrogustavo,"El día de hoy me reuní con el @SecBlinken y conversamos sobre la cooperación conjunta en materia de cambio climático, una verdadera política de drogas y la lucha contra la corrupción. Fortaleceremos la relación entre Estados Unidos y Colombia en estos proyectos integrales. https://t.co/jsG3e79fS0",2022-10-04 00:52:07+00:00,0.20825493335723877,0.4594182074069977,0.33232685923576355
52,61,petrogustavo,"El gran problema de Colombia es la enorme desigualdad social heredada de la esclavitud.

De allí surgen otros problemas como la guerrilla o el narcotráfico. https://t.co/P9fzS3LgCU",2022-10-03 13:37:35+00:00,0.39403316378593445,0.3423602879047394,0.26360657811164856
53,62,petrogustavo,"¿Quién asesinó al militante del Pacto Histórico Juan Gabriel Rueda, en Salgar, Antioquia?

Juan Gabriel fué coordinador de mi campaña en ese municipio. A @FiscaliaCol le corresponde coordinar la investigación. https://t.co/QSkXTNVFqT",2022-10-03 03:38:27+00:00,0.35308030247688293,0.3368401527404785,0.31007954478263855
54,63,petrogustavo,Felicito a Lula por su victoria en primera vuelta. Felicito al pueblo brasileño por su enorme participación electoral https://t.co/RiCnpW2lyh,2022-10-03 00:34:31+00:00,0.24203090369701385,0.2917921543121338,0.46617692708969116
