,user,text,date,match
69,ingrodolfohdez,"Radicamos el primer debate de control político por presunta corrupción en la Ocad-Paz, junto a los Senadores @JotaPeHernandez , @DeLaCalleHum y @ArielAnaliza , para que nos expliquen en qué se gastaron más de 8billones de pesos.

¡Y si se los robaron, los tienen que devolver! https://t.co/ldbDY4aNZv",Wed Jul 27 17:33:43 +0000 2022,['robar']
87,ingrodolfohdez,Empezó el cambio 🫱🏻‍🫲🏼🇨🇴 @petrogustavo https://t.co/kNigOffgeY,Tue Jun 28 20:45:00 +0000 2022,['petro']
91,ingrodolfohdez,"No es mi intención, como lo manifesté en el momento en el que reconocí el triunfo del doctor @petrogustavo, generar alguna duda sobre ese resultado, ni contradecir lo que ha manifestado la Registraduría Nacional. https://t.co/kkgdaqkKWQ",Wed Jun 22 16:44:00 +0000 2022,['petro']
95,ingrodolfohdez,"Sé que cada uno de ustedes esperaba lograr el sueño que fue creciendo en Colombia, de que yo pudiera alcanzar la presidencia con los principios de No robar, No mentir y No traicionar.",Tue Jun 21 11:49:46 +0000 2022,['robar']
103,ingrodolfohdez,"Testigos electorales Rodolfistas, durante el preconteo de votos deben:
1. Tomar foto a los tarjetones que tengan punto o raya en la casilla de Petro o en voto en blanco. 
2. Poner en las observaciones del E14: el tarjetón tenía previamente punto o raya. Quieren anularnos el voto.",Sun Jun 19 19:27:50 +0000 2022,['Petro']
114,ingrodolfohdez,"Como se les cayó la mentira del autosecuestro de mi hija, sintiendo que la cantidad de engaños, trampas y mentiras que usaron en esta sucia campaña no les dio resultado, ahora pretenden desorientar a los colombianos con tan cobarde infamia.",Sat Jun 18 17:33:27 +0000 2022,['campaña']
120,ingrodolfohdez,"Si así se gasta la plata del país estando en campaña, imagínense si llega a ser presidente. https://t.co/0YmwDyIGWv",Fri Jun 17 22:25:11 +0000 2022,"['plata', 'campaña']"
123,ingrodolfohdez,"Luego de conocer los resultados de la jornada electoral, daré mis declaraciones desde mi casa, en compañía de mi familia. No gastaremos plata en espectáculos, siguiendo la austeridad que ha caracterizado a mi campaña y que hoy necesita es la misma que necesita el país. https://t.co/TVayqsMtKE",Fri Jun 17 20:05:20 +0000 2022,"['plata', 'campaña']"
125,ingrodolfohdez,Doctor @petrogustavo en toda mi vida JAMÁS le he puesto trampas a los jueces y menos los he inmolado. Cómo me alegra que haya recapacitado y reconozca que SIN jueces SOLO habrá DICTADURA Y VIOLENCIA. NO SE CONFUNDA! https://t.co/ueEf4ngLIv,Fri Jun 17 17:23:53 +0000 2022,['petro']
127,ingrodolfohdez,"Les parece mal que yo esté de vacaciones en Miami en el 2021, pero no les parece mal que Petro se emborrache y con tremenda borrachera se suba a las tarimas a hablarle a los electores, ni los “Petrovideos”, el pacto de la picota y su estrategia criminal. Están es desesperados.",Fri Jun 17 15:31:46 +0000 2022,"['Petro', 'Petro']"
130,ingrodolfohdez,"@petrogustavo DEJE DE MENTIRLE AL PAÍS. De mi equipo no asistió nadie porque usted en ningún momento delegó a alguien, ni concertó cita alguna al respecto. 

#RodolfoPresidente #RodolfoHernandez https://t.co/RvSdE3cdUL",Fri Jun 17 14:27:25 +0000 2022,['petro']
136,ingrodolfohdez,"Me dicen q este sr Eduar Triana, representante a la cámara, es hijo de un extraditado y quiero aclarar q jamás en mi vida lo había visto. Él se acercó a mí con una imagen de la Virgen y de ninguna manera fue mi anfitrión, si así lo dice es un mentiroso. NO ACEPTO SU APOYO! https://t.co/DIDwwT07FO",Thu Jun 16 18:56:36 +0000 2022,['mentiroso']
149,ingrodolfohdez,"Que este 19 de junio su voto sea para detener a los que se han dedicado a robarnos la plata a todos los colombianos 💰🇨🇴

#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #elecciones2022 https://t.co/BdmPNG0bGP",Wed Jun 15 16:47:59 +0000 2022,"['robar', 'plata']"
165,ingrodolfohdez,"En innovación no es que no haya plata, el problema es que los políticos no dejan plata💰 y por eso no se invierte. 🔴 #EnVivo  #RodolfoPresidente 💛💙",Tue Jun 14 00:51:06 +0000 2022,"['plata', 'plata']"
177,ingrodolfohdez,"La seriedad y credibilidad de esta encuestadora quedó demostrada sospechosamente el 29 de mayo. A Petro lo favorecía con un 2% y a mí me desfavorecía grotescamente con -15,4% 🤷🏼‍♂️. https://t.co/5RDBjyWSEX",Sat Jun 11 20:34:43 +0000 2022,['Petro']
199,ingrodolfohdez,Ayer se hicieron públicos unos videos donde Petro y los politiqueros que lo rodean demuestran que son una banda criminal.,Thu Jun 09 15:27:59 +0000 2022,['Petro']
200,ingrodolfohdez,"¿Este es el presidente que Colombia quiere? Colombia no merece ser gobernada por esta gavilla criminal. Recuerden que Petro no es Petro, Petro son todos esos politiqueros redomados con quienes anda.",Thu Jun 09 13:37:47 +0000 2022,"['Petro', 'Petro', 'Petro']"
221,ingrodolfohdez,"La plata que me den de la reposición de votos, que por ley me corresponde, la destinaré al pueblo en el que me posesione, que será en el más pobre de Colombia 🇨🇴💛

(Foto del día que me posesioné como alcalde, en uno de los barrios más pobres de la ciudad)

#RodolfoHernandez https://t.co/ZA144QVtVx",Tue Jun 07 16:11:07 +0000 2022,['plata']
225,ingrodolfohdez,"La corrupción de Petro en Bogotá fue evidente. No se perdieron de nada, hasta en las motos se llevaron su tajada. Doctor @petrogustavo, dígame lo que pregona y le diré en qué peca. https://t.co/5ZzfbEIu25",Tue Jun 07 13:36:45 +0000 2022,"['Petro', 'petro']"
237,ingrodolfohdez,"2.Con toda la plata que vamos a ahorrar atacando la corrupción, voy a condonar las deudas de los muchachos con el Icetex aplicando 3 filtros iniciales: 1) Estudiantes activos, para evitar la deserción; 2) Estudiantes de estrato 1, 2 y 3; 3) Estudiantes con los mejores promedios.",Mon Jun 06 15:50:30 +0000 2022,['plata']
253,ingrodolfohdez,#LaCorrupcionPetrista es no saber de dónde sacan la cantidad de plata que se gastan haciéndome mala publicidad.,Mon Jun 06 12:37:11 +0000 2022,['plata']
255,ingrodolfohdez,"Yo soy el candidato presidencial que más lejos ha llegado con menos compromisos en la historia. Petro, en cambio, ha hecho tratos con todos los que alguna vez criticó para llegar a donde está. #RodolfoPresidente",Mon Jun 06 00:22:49 +0000 2022,['Petro']
259,ingrodolfohdez,Espero que nunca le toque tomar una decisión como la que yo tuve que tomar. @petrogustavo https://t.co/WJqv6AR9lz,Sun Jun 05 12:17:41 +0000 2022,['petro']
269,ingrodolfohdez,"En mi campaña no se está pidiendo plata a ningún colombiano.

#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #Elecciones2022 https://t.co/A5ECYH7KuB",Fri Jun 03 20:58:07 +0000 2022,"['campaña', 'plata']"
270,ingrodolfohdez,"La doble moral de @petrogustavo se está desbordando. Antes de atacarme, mírese bien en el espejo, no vaya a ser que se esté atacando a sí mismo. https://t.co/3hWZybF515",Fri Jun 03 20:54:44 +0000 2022,['petro']
275,ingrodolfohdez,"Si #ColombiaQuiere progreso, entonces #ColombiaNecesita acabar con toda esa parranda de politiqueros que lo único que le han hecho al país es robarlo.
#RodolfoPresidente",Fri Jun 03 13:48:53 +0000 2022,['robar']
288,ingrodolfohdez,Cómo cambian las cosas. Este debe ser el tono entre los dos proyectos de cambio por los que votó Colombia. No lo olvide @petrogustavo https://t.co/aIqlWLNCoC,Wed Jun 01 13:20:07 +0000 2022,['petro']
289,ingrodolfohdez,"Todo aquel que lucha x un mejor país merece nuestra admiración y respeto.
Si las campañas no sirven para unir entre los diversos colores que somos, entonces para qué sirven?
Gracias x seguir haciendo linda esta campaña.🇨🇴🫶🏻

https://t.co/cCb3B9WDqx",Tue May 31 19:35:55 +0000 2022,"['campaña', 'campaña']"
290,ingrodolfohdez,"https://t.co/IVTouSoGLm igual que mi campaña, MI GOBIERNO SERÁ INDEPENDIENTE, YO NO LE DEBO NADA A NADIE, NO COMAN CUENTO.",Tue May 31 00:33:44 +0000 2022,['campaña']
292,ingrodolfohdez,18.En mi gobierno se sacará la plata que se ahorre de todos los gastos innecesarios en los que han incurrido gobiernos anteriores para pagar la deuda del ICETEX de los muchachos. Nadie debería endeudar su futuro para poder progresar.,Tue May 31 00:32:40 +0000 2022,['plata']
306,ingrodolfohdez,"4.Mi gobierno, al igual que mi campaña, va a ser austero. Nada de seguir despilfarrando la plata de los colombianos como lo han venido haciendo los gobiernos anteriores.",Tue May 31 00:19:31 +0000 2022,"['campaña', 'plata']"
315,ingrodolfohdez,"Ayer, en las #EleccionesColombia, casi 6 millones votaron en contra de lo que nos divide, y a favor de lo que nos une: el deseo de que Colombia sea un país sin odios, sin ladrones, sin pobreza. Un país del que nadie se quiera ir. #ColombiaEsRodolfo #RodolfoPresidente",Mon May 30 13:08:42 +0000 2022,['ladron']
324,ingrodolfohdez,"#EnVivo 🔴 Hable con *El Ingeniero en su cierre de campaña digital* 📲💛💙🇨🇴

https://t.co/PLBytjP44I",Sun May 29 01:19:00 +0000 2022,['campaña']
326,ingrodolfohdez,"Colombianos nos vemos hoy en mi cierre de campaña digital📲💛💙

🕗 8:00pm 
🔵 En mi red social FaceBook

Los espero, inviten a sus familiares, amigos y hasta el vecino 🤭😎

#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #Elecciones2022 https://t.co/WrmeUbQEUe",Sat May 28 23:31:52 +0000 2022,['campaña']
328,ingrodolfohdez,"#ChampionsLeagueFinal va a ser la de mañana, yo superando el juego sucio de Petro y goleando a Fico.",Sat May 28 20:08:20 +0000 2022,['Petro']
329,ingrodolfohdez,"No podemos dejar que las mentiras de Petro destruyan al país, ni que la continuidad de Uribe con Duque, y ahora con Fico, haga crecer la miseria nacional. 
#RodolfoPresidente",Sat May 28 19:51:27 +0000 2022,['Petro']
330,ingrodolfohdez,"#ElIngenieroPropone Hay que inyectarle plata al campo y darles a los campesinos herramientas para que sus productos puedan competir con los que se importan. Mi gobierno se concentrará en el campo. 
#RodolfoPresidente",Sat May 28 19:26:20 +0000 2022,['plata']
342,ingrodolfohdez,"Están tan desesperados que ya se unieron Uribe, Vicky y Petro para atacarme, usando a cuanto corrupto en venta anda suelto.

https://t.co/iobTffN5xK",Fri May 27 15:20:57 +0000 2022,['Petro']
343,ingrodolfohdez,#ElIngenieroPropone Los transportadores de carga necesitan un gobierno que se preocupe por mejorar la infraestructura vial del país para poder impulsar la competitividad. Ya es hora de que dejen de robarse la plata que pagamos en los peajes y se empiece a invertir de verdad.,Fri May 27 14:31:19 +0000 2022,"['robar', 'plata']"
344,ingrodolfohdez,"#ElDomingoVoyA cambiar la historia junto con todos los colombianos que se han mamado de las divisiones y no quieren más uribismo ni que siga Duque con cara de Fico, y menos que llegue Petro a dividirnos más. #RodolfoPresidente",Fri May 27 14:29:22 +0000 2022,['Petro']
346,ingrodolfohdez,"Lo que muestran los indicadores de mi acercamiento a Petro es lo que tiene asustados no solo a los petristas, sino a los uribistas 😎💪🏻.

#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #elecciones2022 https://t.co/9mMfuTBgRH",Fri May 27 13:07:10 +0000 2022,['Petro']
358,ingrodolfohdez,#VotoPor el fin de la polarización. Porque el continuismo de Fico y el miedo que causa Petro solo dividen al país.,Wed May 25 13:00:38 +0000 2022,['Petro']
366,ingrodolfohdez,"Todas estas propuestas de los debates, ya han sido dichas en entrevistas, mensajes de campaña y un montón de otros debates a los que yo ya fui, mientras Petro decidió no aparecerse hasta ahora, cuando las encuestas muestran que ya no va a ganar. (9/10)",Tue May 24 17:09:15 +0000 2022,"['campaña', 'Petro']"
374,ingrodolfohdez,"La agresividad de las otras campañas al ver cómo cada día son más los colombianos que me apoyan, me ha hecho pensar sobre qué hace que se desesperen y actúen así. (1/10)",Tue May 24 17:06:22 +0000 2022,['campaña']
383,ingrodolfohdez,"Después de buscarme para una alianza, Petro empieza a atacarme cuando las encuestas muestran que soy el único que le puede ganar en segunda vuelta. Miren por donde pela el cobre. Ya no le sirvo, doctor Petro? 

https://t.co/SrxkgyEecl",Mon May 23 17:11:33 +0000 2022,"['Petro', 'Petro']"
386,ingrodolfohdez,"Gracias por su apoyo @JotaPeHernandez , con su ayuda todo será diferente. A todos los politiqueros, el tiempo de robar se les acabó! #RodolfoPresidente 

Ver: https://t.co/OvxyewHjVX",Mon May 23 15:11:03 +0000 2022,['robar']
389,ingrodolfohdez,"#LoPeorDeEstasElecciones ha sido ver a la derecha más politiquera acercándose a la izquierda de Petro para neutralizar, una vez más, al centro que nosotros representamos y que es el único capaz de salvar al país de la polarización. https://t.co/R4MxudnbgC",Sun May 22 16:33:18 +0000 2022,['Petro']
391,ingrodolfohdez,Gustavo: 1. El fuego no se apaga con gasolina. 2. Es irresponsable asumir hechos inexistentes como ciertos. 3. Soy víctima de gavillas y no me presto para hacerlas. @petrogustavo,Sun May 22 14:07:26 +0000 2022,['petro']
393,ingrodolfohdez,"En las embajadas solo hay politiqueros quemados, trabaja más el buey del pesebre que ellos. Las casas donde están las embajadas las vendemos y con esa plata le pagamos la deuda que los chinos tienen con el ICETEX 🇨🇴💪🏻

#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion https://t.co/gNrz0ZAdve",Sat May 21 20:54:48 +0000 2022,['plata']
394,ingrodolfohdez,"Cada hora, más y más colombianos se están uniendo a mí, porque sienten que soy la mejor opción para el país y el único que le puede ganar a Petro. No les voy a fallar!💛💙

#RodolfoPresidente #RodolfoHernandez #LigaAnticorrupcion #Elecciones2022",Sat May 21 19:54:25 +0000 2022,['Petro']
395,ingrodolfohdez,"Mi campaña significa la unión de Colombia para acabar con la corrupción y poder salir adelante. Quien tenga esta meta y quiera sumarse apoyando, siempre será bienvenido.

#RodolfoPresidente #RodolfoHernandez #Elecciones2022 #LigaAnticorrupcion",Sat May 21 18:11:12 +0000 2022,['campaña']
400,ingrodolfohdez,"#EstaMal hacer campaña dividiendo al país. El único futuro de Colombia es la unión🇨🇴💛💙

#RodolfoPresidente #RodolfoHernandez #Elecciones2022 #LigaAnticorrupcion",Fri May 20 20:30:28 +0000 2022,['campaña']
402,ingrodolfohdez,"Gracias a todos los rodolfistas por demostrar que se puede hacer una campaña diferente 👏🏻💪🏻🇨🇴

#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion https://t.co/pxxg3A61W6",Fri May 20 16:55:56 +0000 2022,['campaña']
403,ingrodolfohdez,"#ElFenómenoRodolfo es la prueba de que Colombia quiere un cambio de verdad y sin riesgos. No a Petro.

#RodolfoPresidente #RodolfoHernandez #Elecciones2022 #LigaAnticorrupcion",Fri May 20 16:40:08 +0000 2022,['Petro']
407,ingrodolfohdez,"El pueblo colombiano y yo somos los únicos que en segunda vuelta podemos ganarle a Petro💪🏻. Voy a ser su presidente💛💙🇨🇴

#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #Elecciones2022 https://t.co/TvztqmAuIW",Fri May 20 12:54:39 +0000 2022,['Petro']
413,ingrodolfohdez,De dónde estará sacando tanta plata el doctor Fico🤔🤔 https://t.co/acwV3R3xMb,Thu May 19 18:50:17 +0000 2022,['plata']
419,ingrodolfohdez,"Vallenatos! Gracias por darme la herramienta para acabar con los hampones que se roban la plata de los colombianos. Tranquilos, la vamos a empezar a usar el 7 de agosto. No les voy a fallar! 🪤😎🇨🇴

Gracias Valledupar! 🪗🎶
#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion https://t.co/KYZ9T5Rsb3",Thu May 19 12:48:18 +0000 2022,['plata']
421,ingrodolfohdez,"En mi gobierno reduciremos el gasto de funcionamiento del Estado para que la plata sea para la deuda que tiene la muchachada de los estratos 1, 2 y 3 con el ICETEX 📚📝🇨🇴

#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #elecciones2022 https://t.co/kSfpNmbUXZ",Thu May 19 00:19:28 +0000 2022,['plata']
423,ingrodolfohdez,"Acabaremos con el despilfarro que tienen todos los parlamentarios y con esa plata que nos ahorramos, le pagamos la deuda que tiene la muchachada con el ICETEX👀💵🇨🇴.

 #RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #Elecciones2022 https://t.co/RalrcT30xy",Wed May 18 20:52:01 +0000 2022,['plata']
427,ingrodolfohdez,"Petro y Fico están dando patadas de ahogado. Pusieron a todas sus bodegas a atacarme, porque saben que este 29 de mayo ganaré en primera vuelta. Mi capacidad de unir es tan grande que hasta Petro y Fico se unieron para atacarme. Los tengo asustados.",Wed May 18 16:22:09 +0000 2022,"['Petro', 'Petro']"
430,ingrodolfohdez,"Yo no necesito plata porque esa ya la trabajé, pero hay 22 millones de colombianos pobres que sí la necesitan 🇨🇴🫶🏻.

#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #Elecciones2022 https://t.co/Zm25ndF3Dx",Wed May 18 11:54:10 +0000 2022,['plata']
436,ingrodolfohdez,"Como se roban todo, no hay plata para el gasto público, o sea que, además de los impuestos, los ciudadanos también tenemos que pagar las carreteras. ¿Por qué seguimos soportando este desastre? #TienenHuevo (2/2)",Tue May 17 22:51:20 +0000 2022,['plata']
441,ingrodolfohdez,"Los politiqueros son los únicos a los que les puede dar miedo ahorrarse una plata que se está botando o se le está entregando a la clase politiquera que tiene arruinado a Colombia, especialmente a los más pobres, que son los se están muriendo de hambre, por Dios! #ARodolfoLeDigo",Tue May 17 17:46:38 +0000 2022,['plata']
445,ingrodolfohdez,Las casas donde están las embajadas las vendemos y con esa plata le pagamos la deuda que los chinos tienen con el ICETEX. #EnVivo en #VickyEnSemana @RevistaSemana #ARodolfoLeDigo,Tue May 17 17:33:42 +0000 2022,['plata']
449,ingrodolfohdez,"El primer decreto es quitarle el despilfarro de plata que tienen los parlamentarios. Que paguen ellos de su bolsillo su carro, su celular, sus viajes. #EnVivo en #VickyEnSemana @RevistaSemana #ARodolfoLeDigo",Tue May 17 17:10:26 +0000 2022,['plata']
450,ingrodolfohdez,En la campaña me he gastado 3 mil millones de pesos de mi bolsillo. #EnVivo en #VickyEnSemana @RevistaSemana #ARodolfoLeDigo,Tue May 17 17:08:23 +0000 2022,['campaña']
452,ingrodolfohdez,"¡Solos, los colombianos y yo vamos a derrotar a las gavillas de Petro y de Fico! 💪🏻🇨🇴

#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #Elecciones2022 https://t.co/No7LVGuJka",Tue May 17 15:34:05 +0000 2022,['Petro']
453,ingrodolfohdez,"#MiBolsillo está en esta campaña, no como esos politiqueros corruptos que pagan sus campañas con la plata que le roban a la gente.
#RodolfoPresidente",Tue May 17 15:05:47 +0000 2022,"['campaña', 'campaña', 'plata']"
455,ingrodolfohdez,"La vacuna 💉contra Petro no es Fico, soy yo!",Tue May 17 11:03:01 +0000 2022,['Petro']
489,ingrodolfohdez,"La plata hay que ponerla a producir para que mejore la vida de la gente 🇨🇴💰.

#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #Elecciones2022 https://t.co/LDMT8TDO3e",Sat May 14 21:34:47 +0000 2022,['plata']
493,ingrodolfohdez,"¡Fico es un mentiroso triple redomado! Las encuestas de él, son igual de falsas a esta foto 🤷🏼‍♂️ https://t.co/7x6usM4Qk9",Sat May 14 19:22:35 +0000 2022,['mentiroso']
505,ingrodolfohdez,"#UnaPatrañaEs que aquí los políticos que se dedicaron a robar y a endeudar el país todos los días, sábado y domingo también, hoy quieran hacerse los salvadores. Los colombianos nos acostamos tranquilos y al despertarnos ya debemos el doble de lo que se debía el día anterior.",Fri May 13 20:58:01 +0000 2022,['robar']
508,ingrodolfohdez,"#UnaPatrañaEs que se inventen que hay que resignarse y votar por Petro o por Fico, cuando existe una opción de cambio, de una.
#RodolfoPresidente",Fri May 13 14:47:38 +0000 2022,['Petro']
519,ingrodolfohdez,"El Pdte. Duque está haciendo participación indebida en política. Levanta la ley de garantías y adjudicó contratos, a través de convenios, por 53 billones💰para entregarles a los parlamentarios para que hicieran la campaña al senado y cámara a favor de la rosca que tienen montada.",Thu May 12 18:24:58 +0000 2022,['campaña']
533,ingrodolfohdez,"En mi gobierno,a través de un decreto, controlaremos las chequeras para que no despilfarren los recursos públicos en los lujos de los politiqueros y no se sigan robando la plata de todos los colombianos. Mi única alianza es con 🇨🇴. 
https://t.co/lHQD1v1UFq

#RodolfoPresidente",Thu May 12 16:05:43 +0000 2022,['plata']
534,ingrodolfohdez,"Lo que los concejales politiqueros ladrones no me dejaron hacer en Bucaramanga por 0 pesos, a Bogotá le va a costar 1 billón de pesos. 😠

Basuras en Bogotá: la ciudad debe empezar a generar energía en 2023 - Bogotá - https://t.co/dD8R7kPebT https://t.co/0hrmLRwR6Y",Thu May 12 14:19:50 +0000 2022,['ladron']
536,ingrodolfohdez,"#UnGranError es pensar que la solución es Petro, cuando la derecha nunca lo dejaría gobernar.

#RodolfoPresidente",Thu May 12 12:56:14 +0000 2022,['Petro']
544,ingrodolfohdez,"#ElCambioEnPrimera es votar para sacar del gobierno a la mafia politiquera y corrupta, y esto solo es posible con un gobernante que una al pueblo, no uno que lo divida como Petro o Fico. 

#RodolfoPresidente",Wed May 11 14:49:03 +0000 2022,['Petro']
552,ingrodolfohdez,"Lo más solapado que hay son gobernadores, alcaldes haciéndole campaña a unos candidatos y solamente tienen un sesgo para generar resoluciones disciplinarias contra unos otros.🤔 #EnVivo en el #DebateEconómico @CaracolRadio  @WRadioColombia @Canal1Colombia",Wed May 11 02:15:55 +0000 2022,['campaña']
553,ingrodolfohdez,"Los politiqueros ladrones se roban 100 millones de pesos por minuto, eso da un billón semanal. Son 55 billones al año. Total de que el tema no es meter más impuestos. 💰📈 #EnVivo en el #DebateEconómico @WRadioColombia @CaracolRadio @Canal1Colombia",Wed May 11 02:12:47 +0000 2022,['ladron']
555,ingrodolfohdez,"Entonces nos cogen a todos los colombianos que trabajamos, 25 millones de idiotas útiles a llevarle plata 💰 a políticos para que sigan la sigan gastando. #EnVivo en el #DebateEconómico @CaracolRadio  @WRadioColombia",Wed May 11 01:44:05 +0000 2022,['plata']
560,ingrodolfohdez,"En Colombia nos olvidamos de que ganar no importa, si no se puede gobernar. Ni Petro, ni Fico van a poder gobernar dividiendo al país. Mi propósito es unir y jamás dividir.

Pd: Apunte bien con su voto, que en segunda le gano a Petro. #EnSegundaGanaRodolfo",Tue May 10 16:53:37 +0000 2022,"['Petro', 'Petro']"
564,ingrodolfohdez,"#NoComprendo como pretenden gobernar Fico o Petro, con medio país en contra cada uno. Este país necesita un presidente que lo una, no que lo divida.",Tue May 10 13:00:36 +0000 2022,['Petro']
570,ingrodolfohdez,"La única manera que existe para bajar los intereses es con competencia. La plata no la botan los árboles. Cuando hay masas de capital restringido en el mercado, la tasa de interés sube 📈 que es lo que está pasando. @TelepacificoTV",Tue May 10 02:57:26 +0000 2022,['plata']
581,ingrodolfohdez,La deuda externa es que nosotros gastamos más plata 💵 de la que somos capaces de gastar fiscalmente la sumatoria de todos los colombianos. La deuda externa en Colombia con 175 mil millones de dólares que genera 275 mil millones diarios de interés.,Tue May 10 01:52:55 +0000 2022,['plata']
588,ingrodolfohdez,#CampañaSuciaEs comprar votos con la misma plata que le han robado a los colombianos.,Mon May 09 15:29:30 +0000 2022,['plata']
590,ingrodolfohdez,"Mi campaña la pago yo, de mi propio bolsillo💰😊.

#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #elecciones2022 https://t.co/8jkx7NeU46",Mon May 09 14:27:38 +0000 2022,['campaña']
593,ingrodolfohdez,"Buenos días. Para que no olviden: en segunda vuelta yo le gano a petro.

#EnSegundaGanaRodolfo",Mon May 09 10:38:44 +0000 2022,['petro']
596,ingrodolfohdez,"No hacer contrataciones con encorbatados que no van, sino el día que les van a pagar el acta, les pagan una miserableza y se traen el resto de la plata para Bogotá #EnVivo 🔴 en el #DebateAmbiental 🌱 @noticiascaracol #RodolfoPresidente",Mon May 09 02:04:01 +0000 2022,['plata']
600,ingrodolfohdez,"Aquí nos han metido cuentos de cobrar más por todo porque van a ejecutar una obra  y resulta que la obra no la ejecutan, la plata la comprometen, se la roban, la malgastan, malos diseños y no terminan en nada #EnVivo 🔴 en el #DebateAmbiental 🌱 @noticiascaracol",Mon May 09 01:41:47 +0000 2022,['plata']
